"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","441","Update Users","chromium","Sat Oct 05 12:13:09 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","194","Get Users","firefox","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:08 IST 2024","","step_definitions\APITest.spec.js","",""
"","343","delete Users","firefox","Sat Oct 05 12:13:09 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","344","Update Users","firefox","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","355","delete Users","chromium","Sat Oct 05 12:13:09 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","594","Get Users","chromium","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:08 IST 2024","","step_definitions\APITest.spec.js","",""
"","148","Validate PoleStar Logo on Homepage","chromium","Sat Oct 05 10:57:02 IST 2024","passed","Sat Oct 05 10:57:03 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","7","Validate HomePage title","firefox","Fri Oct 04 21:05:31 IST 2024","failed","Fri Oct 04 21:05:31 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","344","Update Users","webkit","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","144","Validate PoleStar Logo on Homepage","webkit","Sat Oct 05 10:57:05 IST 2024","passed","Sat Oct 05 10:57:05 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","436","Validate home page menu options","firefox","Sat Oct 05 10:57:02 IST 2024","passed","Sat Oct 05 10:57:03 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","492","Create Users","firefox","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:08 IST 2024","","step_definitions\APITest.spec.js","",""
"","429","Create Users","webkit","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:08 IST 2024","","step_definitions\APITest.spec.js","",""
"","50","Validate PoleStar Logo on Homepage","firefox","Sat Oct 05 10:57:02 IST 2024","passed","Sat Oct 05 10:57:03 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","82","Validate home page menu options","chromium","Sat Oct 05 10:57:02 IST 2024","passed","Sat Oct 05 10:57:03 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","43","Validate home page menu options","webkit","Sat Oct 05 10:57:05 IST 2024","passed","Sat Oct 05 10:57:05 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","22792","I am Visting PoleStar WebSite","webkit","Sat Oct 05 10:57:05 IST 2024","passed","Sat Oct 05 10:57:28 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","13","Validate HomePage title","webkit","Fri Oct 04 21:05:31 IST 2024","failed","Fri Oct 04 21:05:31 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","27275","I am Visting PoleStar WebSite","chromium","Sat Oct 05 10:57:02 IST 2024","passed","Sat Oct 05 10:57:30 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","19321","I am Visting PoleStar WebSite","firefox","Sat Oct 05 10:57:02 IST 2024","passed","Sat Oct 05 10:57:22 IST 2024","","step_definitions\PoleStar.spec.js","",""
"","337","delete Users","webkit","Sat Oct 05 12:13:09 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","496","Create Users","chromium","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:09 IST 2024","","step_definitions\APITest.spec.js","",""
"","131","Get Users","webkit","Sat Oct 05 12:13:08 IST 2024","passed","Sat Oct 05 12:13:08 IST 2024","","step_definitions\APITest.spec.js","",""
"","37","Validate HomePage title","chromium","Sat Oct 05 09:58:18 IST 2024","failed","Sat Oct 05 09:58:18 IST 2024","","step_definitions\PoleStar.spec.js","",""
